episode,global_step,sub_run_index,returns,episode_length
750,17006,eval_idx04,10.0,10
750,17006,eval_idx05,8.0,8
750,17006,eval_idx06,9.0,9
750,17006,eval_idx07,10.0,10
750,17006,eval_idx08,9.0,9
750,17006,eval_idx09,9.0,9
800,18132,eval_idx00,9.0,9
800,18132,eval_idx01,10.0,10
800,18132,eval_idx02,9.0,9
800,18132,eval_idx03,10.0,10
800,18132,eval_idx04,10.0,10
800,18132,eval_idx05,8.0,8
800,18132,eval_idx06,9.0,9
800,18132,eval_idx07,10.0,10
800,18132,eval_idx08,9.0,9
800,18132,eval_idx09,9.0,9
850,19352,eval_idx00,9.0,9
850,19352,eval_idx01,10.0,10
850,19352,eval_idx02,9.0,9
850,19352,eval_idx03,10.0,10
850,19352,eval_idx04,10.0,10
850,19352,eval_idx05,8.0,8
850,19352,eval_idx06,9.0,9
850,19352,eval_idx07,10.0,10
850,19352,eval_idx08,9.0,9
850,19352,eval_idx09,9.0,9
900,20391,eval_idx00,9.0,9
900,20391,eval_idx01,10.0,10
900,20391,eval_idx02,9.0,9
900,20391,eval_idx03,10.0,10
900,20391,eval_idx04,10.0,10
900,20391,eval_idx05,8.0,8
900,20391,eval_idx06,9.0,9
900,20391,eval_idx07,10.0,10
900,20391,eval_idx08,9.0,9
900,20391,eval_idx09,9.0,9
950,21562,eval_idx00,9.0,9
950,21562,eval_idx01,10.0,10
950,21562,eval_idx02,9.0,9
950,21562,eval_idx03,10.0,10
950,21562,eval_idx04,10.0,10
950,21562,eval_idx05,8.0,8
950,21562,eval_idx06,9.0,9
950,21562,eval_idx07,10.0,10
950,21562,eval_idx08,9.0,9
950,21562,eval_idx09,9.0,9
1000,22609,eval_idx00,9.0,9
1000,22609,eval_idx01,10.0,10
1000,22609,eval_idx02,9.0,9
1000,22609,eval_idx03,10.0,10
1000,22609,eval_idx04,10.0,10
1000,22609,eval_idx05,8.0,8
1000,22609,eval_idx06,9.0,9
1000,22609,eval_idx07,10.0,10
1000,22609,eval_idx08,9.0,9
